iter	Passed	Remaining
0	160	159900
1	164	82140
2	172	57213
3	176	44007
4	180	36016
5	185	30811
6	193	27478
7	200	24858
8	205	22589
9	209	20696
10	215	19369
11	219	18099
12	224	17011
13	230	16237
14	234	15404
15	238	14678
16	242	14023
17	243	13299
18	244	12642
19	246	12055
20	247	11525
21	248	11047
22	249	10603
23	250	10200
24	251	9827
25	253	9482
26	254	9163
27	257	8922
28	258	8658
29	260	8431
30	262	8193
31	263	7971
32	264	7757
33	266	7564
34	267	7384
35	269	7209
36	271	7061
37	273	6916
38	275	6791
39	276	6644
40	278	6503
41	279	6369
42	280	6240
43	281	6117
44	282	5999
45	284	5895
46	286	5804
47	287	5701
48	288	5603
49	289	5509
50	291	5416
51	292	5335
52	294	5253
53	295	5179
54	297	5106
55	298	5035
56	302	5003
57	303	4936
58	305	4867
59	306	4801
60	308	4741
61	309	4678
62	310	4621
63	312	4566
64	313	4515
65	316	4480
66	318	4431
67	319	4380
68	320	4330
69	323	4297
70	324	4252
71	326	4212
72	328	4177
73	332	4160
74	334	4120
75	335	4081
76	338	4059
77	339	4017
78	341	3976
79	342	3935
80	343	3895
81	344	3861
82	349	3860
83	350	3823
84	351	3783
85	353	3752
86	353	3713
87	355	3679
88	356	3646
89	357	3615
90	358	3584
91	363	3583
92	364	3559
93	366	3530
94	368	3506
95	369	3479
96	371	3454
97	372	3430
98	374	3409
99	376	3388
100	378	3365
101	379	3337
102	380	3313
103	381	3287
104	382	3264
105	384	3240
106	386	3222
107	391	3234
108	393	3213
109	394	3190
110	395	3167
111	397	3151
112	399	3132
113	400	3115
114	405	3117
115	406	3096
116	408	3082
117	409	3062
118	410	3039
119	411	3019
120	412	2999
121	414	2979
122	414	2956
123	418	2957
124	421	2953
125	424	2941
126	425	2926
127	426	2905
128	427	2887
129	435	2911
130	437	2902
131	440	2899
132	442	2886
133	444	2870
134	445	2854
135	448	2848
136	449	2834
137	450	2816
138	451	2799
139	453	2783
140	454	2768
141	455	2752
142	456	2736
143	457	2721
